DateTime,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour_sin,hour_cos,month_sin,month_cos,day_of_week,is_weekend,elapsed_hours,elapsed_days,T_RH,T_AH,S1_S5_ratio,S3_S5_diff,S1_S3_diff,CO(GT),C6H6(GT),NOx(GT),NO2(GT)
2004-03-10 18:00:00,1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,2,0,0.0,0.0,665.04,10.30608,1.0725552050473186,-212.0,304.0,2.6,11.9,166.0,113.0
2004-03-10 19:00:00,1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,2,0,1.0,0.041666666666666664,634.4100000000001,9.64915,1.3292181069958848,202.0,118.0,2.0,9.4,103.0,92.0
2004-03-10 20:00:00,1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,2,0,2.0,0.08333333333333333,642.6,8.92738,1.3054003724394785,66.0,262.0,2.2,9.0,131.0,114.0
2004-03-10 21:00:00,1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,2,0,3.0,0.125,660.0,8.653699999999999,1.14380714879468,-111.0,284.0,2.2,9.2,172.0,122.0
2004-03-10 22:00:00,1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,2,0,4.0,0.16666666666666666,667.52,8.834559999999998,1.145945945945946,95.0,67.0,1.6,6.5,131.0,116.0
2004-03-10 23:00:00,1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,2,0,5.0,0.20833333333333334,663.04,8.78976,1.2613277133825078,388.0,-140.0,1.2,4.7,89.0,96.0
2004-03-11 00:00:00,1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,0.0,1.0,0.8660254037844386,0.5000000000000001,3,0,6.0,0.25,641.84,8.59139,1.616643929058663,729.0,-277.0,1.2,3.6,62.0,77.0
2004-03-11 01:00:00,1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,3,0,7.0,0.2916666666666667,642.0,8.24114,1.5561643835616439,723.0,-317.0,1.0,3.3,62.0,76.0
2004-03-11 02:00:00,1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,3,0,8.0,0.3333333333333333,638.79,8.18336,1.764516129032258,959.0,-485.0,0.9,2.3,45.0,60.0
2004-03-11 03:00:00,1010.0,561.0,1705.0,1235.0,501.0,10.3,60.2,0.7517,0.7071067811865476,0.7071067811865476,0.8660254037844386,0.5000000000000001,3,0,9.0,0.375,620.0600000000001,7.742510000000001,2.0159680638722555,1204.0,-695.0,0.6,1.7,,
2004-03-11 04:00:00,1011.0,527.0,1818.0,1197.0,445.0,10.1,60.5,0.7465,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,3,0,10.0,0.4166666666666667,611.05,7.53965,2.2719101123595506,1373.0,-807.0,,1.3,21.0,34.0
2004-03-11 05:00:00,1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,3,0,11.0,0.4583333333333333,618.2,8.1026,2.5260663507109005,1496.0,-852.0,0.7,1.1,16.0,28.0
2004-03-11 06:00:00,1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,3,0,12.0,0.5,610.0500000000001,7.720649999999999,2.2288135593220337,1266.0,-686.0,0.7,1.6,34.0,48.0
2004-03-11 07:00:00,1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,3,0,13.0,0.5416666666666666,607.92,7.56534,1.5671232876712329,760.0,-346.0,1.1,3.2,98.0,82.0
2004-03-11 08:00:00,1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,3,0,14.0,0.5833333333333334,619.9200000000001,8.00064,1.2096188747731398,34.0,197.0,2.0,8.0,174.0,112.0
2004-03-11 09:00:00,1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,3,0,15.0,0.625,636.3000000000001,8.07555,1.3142023346303502,51.0,272.0,2.2,9.5,129.0,101.0
2004-03-11 10:00:00,1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,3,0,16.0,0.6666666666666666,630.72,8.15616,1.4337209302325582,358.0,15.0,1.7,6.3,112.0,98.0
2004-03-11 11:00:00,1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,3,0,17.0,0.7083333333333334,607.9499999999999,7.7196,1.7570789865871832,657.0,-149.0,1.5,5.0,95.0,92.0
2004-03-11 12:00:00,1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,3,0,18.0,0.75,634.6,7.553450000000001,1.8614457831325302,637.0,-65.0,1.6,5.2,104.0,95.0
2004-03-11 13:00:00,1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,3,0,19.0,0.7916666666666666,634.1200000000001,6.966190000000001,1.609511889862328,363.0,124.0,1.9,7.3,146.0,112.0
2004-03-11 14:00:00,1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,3,0,20.0,0.8333333333333334,648.8,6.9888,1.322082931533269,-54.0,388.0,2.9,11.5,207.0,128.0
2004-03-11 15:00:00,1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,3,0,21.0,0.875,662.34,7.2857400000000005,1.3847780126849893,136.0,228.0,2.2,8.8,184.0,126.0
2004-03-11 16:00:00,1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,3,0,22.0,0.9166666666666666,690.64,8.311929999999998,1.3500522466039708,146.0,189.0,2.2,8.3,193.0,131.0
2004-03-11 17:00:00,1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,3,0,23.0,0.9583333333333334,662.48,8.0213,1.252717391304348,-96.0,375.0,2.9,11.2,243.0,135.0
